comment,label
Thật tuyệt vời...!!!,non_toxic
"mỹ đã tuột dốc quá nhiều rồi, giờ muốn vực dậy cũng rất khó",non_toxic
"tôi thấy người lái xe hơi bấm còi mới là người ""rất"" lịch sự ""quá"" văn minh.đường xá là của chung,người cùng sử dụng kiên nhẫn cùng nhau dùng. bấm còi nháy đèn đòi ưu tiên tôi phải được đi trước. thật quá là anh đại mà.",toxic
Coi dịch là giặc. Đã mang tên đó mà xâm nhập VN thì phải đầu hàng hoặc cút xéo. VN luôn tự hào!,non_toxic
"Thương các bé quá! Các con còn quá nhỏ mà đã phải sớm rời xa cha mẹ! Xin chia buồn cùng các gia đình các con, cầu mong các con thật vui ở thế giới mới!",non_toxic
Sevila đoạt cúp sau loạt đá luân lưu nha,non_toxic
Angelina Jolie có đôi bàn tay nổi gân guốc quá!,non_toxic
"tôi không ngờ Việt Nam có địa điểm đẹp như vậy, quá đáng tiền của tôi, tôi sẽ đến đây vào một ngày gần nhất",non_toxic
"địa điểm này quá là tuyệt vời luôn á, không đi là uổng lắm",non_toxic
"Tôi không biết bà ấy làm thế nào để xử lý gã ấy, chỉ thấy đánh bùm bùm",non_toxic
tấm hình này chắc bộ nhớ máy tính chứa được 1 tấm,non_toxic
Không trung sẽ không còn yên tĩnh,non_toxic
"Dí súng vào người khác bóp cò, đạn ko nổ, ko thuộc trường hợp có tính côn đồ !? Bó tay luônĐề nghị giảm án cho anh Đi",non_toxic
Em quá giỏi. Em nên tham gia THÀNH LẬP CLB tiếng Anh. Ở các Giáo xứ/ nhà chùa/ các trường anh ngữ có sự tham gia của các Hội Thiện Nguyện... hãy cho các em không có điều kiện học ngoại ngữ MỘT CƠ HỘI ƯỚC MƠ,non_toxic
"Mình học đại học bên Mỹ mà nhiều khi giáo sư còn dặn chỉ được lôi điện thoại hay laptop để ghi chép thôi đó. Suốt mấy năm mình chỉ dùng điện thoại để chụp hình bài giảng nếu ghi không kịp hay thu âm cái gì quan trọng. Sau giờ học thì dĩ nhiên là phải dùng máy móc các thứ để làm bài, nhưng trong giờ giảng thì vẫn học theo cách truyền thống thôi. Cho học sinh dùng máy vi tính với những môn đặc biệt hay để thuyết trình thì nghe còn có lí. Chưa kể học sinh mà dùng điện thoại thì chuyện quay/chụp lén sẽ rất khó kiểm soát.",non_toxic
Tui cực sợ rắn nhưng khi xem clip này tui lại cực mắc cười xD,non_toxic
Phản ánh một thực tế khoảng cách giàu nghèo ngày càng lớn. Vẫn còn nhiều đứa trẻ không biết bánh trung thu là gì. Chạnh lòng.,non_toxic
Messi vẫn chơi hay nhất trận.,non_toxic
Ở đâu cũng có những kẻ dở hơi!,toxic
"Không thể nào xót xa hơn khi nghĩ tới việc bé bị bỏ rơi thế này. Căm phẫn loại người đi làm chuyện này. Mong bé khỏe mạnh. Các bạn làm công tác bảo vệ sự sống thai nhi thật tuyệt vời, mong các bạn sức khỏe.",non_toxic
Kia - Soluto thì thiếu tí tẹo.,non_toxic
May là rắn không có độc không thì cá gặp diêm vương rồi,non_toxic
"Công an thực hiện nhiệm vụ vô cùng tuyệt vời cho dân, cho nước. Nhiệm vụ vô cùng nguy hiểm với côn đồ có súng nhưng đã bắt được bọn buôn ma túy lớn. Cảm ởn các anh rất nhiều !!!!!",non_toxic
Thích vụ ko tạo scandal!,non_toxic
"Có lẽ đây là lý do nhiều người miền nam có màu da sạm hơn đồng bào miền bắc,vì mọi món đều cho chút đường.",non_toxic
Đọc tin mà thấy căm hờnMặt người dạ thú chẳng còn lương triSói lang chẳng chút từ biXuống tay tàn bạo khác chi hung thầnVừa tồi vừa ác vừa bầnKịch khung mà xử chẳng cần phải nươngĐau lòng xin thắp nén hươngTiễn người về chốn thiên đường xa xăm.,toxic
Rất hay,non_toxic
Mong chính quyền thành phố dẹp hết giang hồ cho mọi người được nhờ.,non_toxic
Biden - Harris sẽ thắng.,non_toxic
"Nhập một két nước 24 chai có 60 ngàn tính ra có 2.500 đ/chai. Trong khi bao nhiêu lượt vận chuyển, bôc vác và lưu kho, thật sự không biết nước đó bổ béo gì không mà thanh niên uống ngày mấy chai",non_toxic
"Xinh đẹp,tài giỏi,có trình độ,hiểu biết rộng nên đi làm diễn viên.",non_toxic
"CẢM ƠN TẤT CẢ CÁC BẠN , CHÚNG TÔI VÔ CÙNG BIẾT ƠN VÀ YÊU MẾN CÁC BẠN :VN:",non_toxic
"Bàn tay nhanh nhẹn quá, chúc mừng chú, gia đình là quan trọng nhất",non_toxic
Cái đầm cửa Hà kiều anh trông nhạt nhẽo quá !,toxic
Cũng đẹp,non_toxic
"Đồ ngu, nói chuyện như con nít",toxic
"Câm mồm đi, ai hỏi mày đâu",toxic
"Đúng là rác rưởi mạng xã hội",toxic
"Mặt như cái mâm còn bày đặt sống ảo",toxic
"Đồ vô học, viết sai chính tả mà cũng lên mạng",toxic
"Bớt xàm đi, nghe ngứa cả tai",toxic
"Con này chỉ biết khoe thân",toxic
"Thằng này não tàn rồi",toxic
"Làm ơn biến khỏi mạng xã hội đi",toxic
"Người đâu mà kém sang thế",toxic
"Ngu như bò mà cũng đòi phản biện",toxic
"Đồ ch* cái thứ sống thừa",toxic
"Tự vả vào mặt mình còn hơn nghe mày nói",toxic
"Loại mày chỉ giỏi anh hùng bàn phím",toxic
"Bài viết vô dụng như chủ thớt",toxic
"Sống lỗi vãi",toxic
"Rảnh háng quá hả?",toxic
"Nhìn là thấy giả tạo rồi",toxic
"Bớt diễn, ai tin?",toxic
"Mặt mày nhìn chán quá",toxic
"Thằng óc chó",toxic
"Ngu còn sĩ diện",toxic
"Thể loại sống vì like",toxic
"Đăng cái thứ rác rưởi này làm gì",toxic
"Sống ảo thành thần rồi",toxic
"Mày không có não à?",toxic
"Suy nghĩ như c**, khỏi bàn",toxic
"Mỗi lần mày đăng bài là tao muốn block",toxic
"Tởm lợm thật sự",toxic
"Biến đi cho đỡ ô nhiễm mạng",toxic
